rank,candidate_id,variant,family,accepted,final_eligible,primitive_rendered,proposal_only,cv_score,gemini_score,path_count,failure_flags,warnings
1,feature_emphasis_openings,B2,FEATURE_EMPHASIS_OPENINGS,True,True,True,False,8.89,8.89,150,,
2,conservative_completion,B2,CONSERVATIVE_COMPLETION,True,True,True,False,8.877,8.88,150,,
3,balanced_architectural,B2,BALANCED_ARCHITECTURAL,True,True,True,False,8.636,8.64,170,,
4,strict_visible,B2,STRICT_VISIBLE,True,True,True,False,8.548,8.55,93,,
5,detailed_editorial,B2,DETAILED_EDITORIAL,True,True,True,False,8.141,8.14,204,,
6,postcard_minimal,B2,POSTCARD_MINIMAL,True,True,True,False,7.961,7.96,57,,
7,B2_structural_primitives_10,B2,NEURAL_MASK_STRUCTURAL_PRIMITIVES,True,False,False,True,7.424,,246,,
8,B1_lineart_seed42_stroke_00,B1,CONTROLNET_LINEART,True,False,False,True,6.893,,80,,
9,B2_guide0_stroke_11,B2,NEURAL_MASK_GUIDE_STROKE,True,False,False,True,6.547,,67,,
10,B1_lineart_seed43_stroke_01,B1,CONTROLNET_LINEART,True,False,False,True,6.276,,28,,
11,B2_guide1_stroke_12,B2,NEURAL_MASK_GUIDE_STROKE,True,False,False,True,5.882,,280,,
12,B2_mlsd_seed42_stroke_02,B1,CONTROLNET_LINEART,True,False,False,True,5.688,,280,,
13,B2_mlsd_seed43_stroke_03,B1,CONTROLNET_LINEART,True,False,False,True,5.318,,280,,
